ion,wave_c,vmin,vmax,ngauss
CIII,1175.59,-240,240,6
SiII,1264.738,-50,100,2
NV_combined,1241,-800,800,4
NV_1,1238.791,-70,70,2
NV_2,1242.774,-70,70,2
CII_10,1334.532,-50,70,6
CII_11,1335.708,-80,60,2
CII_combined,1335,-400,400,4
OI,1302.1689,-100,100,2
OI_10,1304.8580,-100,100,2
OI_11,1306.0291,-100,100,2
SiIII_1,1206.5,-30,50,1
SiIII_3,1298.8940,-100,100,2
FeXXI,1354.0665,-100,100,2
CII,1351.66,-20,30,2
SiIV_combined,1398.5,-1500,1400,4
SiIV,1393.7550,-50,50,2
SiIV_2,1402.7700,-50,50,2
Ly-a,1215.57,-80,80,2
